company,ticker,mode,scope,fiscal_year,fuel_surcharge_revenue_musd,base_revenue_musd,fuel_surcharge_pct,rev_incl,rev_excl,method,source_file,quote
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2002,,,3.1,,,stated_pct,ODFL_2003-12-31.txt,the fuel surcharge increased to 4.4% of revenue from 3.1% in 2002
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2003,,,4.4,,,stated_pct,ODFL_2003-12-31.txt,the fuel surcharge increased to 4.4% of revenue from 3.1% in 2002
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2004,,,6.3,,,stated_pct,ODFL_2004-12-31.txt,the fuel surcharge increased to 6.3% of revenue from 4.4% in 2003
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2005,,,10.3,,,stated_pct,ODFL_2005-12-31.txt,the fuel surcharge increased to 10.3% of revenue from 6.3% in 2004
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2006,,,11.9,,,stated_pct,ODFL_2006-12-31.txt,the fuel surcharge increased to 11.9% of revenue from 10.3% in 2005
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2007,,,12.4,,,stated_pct,ODFL_2007-12-31.txt,Fuel surcharge revenue increased to 12.4% of revenue from 11.9% in 2006
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2008,,,17.2,,,stated_pct,ODFL_2008-12-31.txt,Fuel surcharge revenue increased to 17.2% of revenue from 12.4% in 2007
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2009,,,9.6,,,stated_pct,ODFL_2009-12-31.txt,Fuel surcharge revenue decreased to 9.6% of revenue from 17.2% of revenue in 2008
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2010,,,12.3,,,stated_pct,ODFL_2010-12-31.txt,Fuel surcharge revenue increased to 12.3% of revenue from 9.6% in 2009
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2011,,,16.4,,,stated_pct,ODFL_2011-12-31.txt,Fuel surcharge revenue increased to 16.4% of revenue from 12.3% in 2010
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2012,,,16.7,,,stated_pct,ODFL_2012-12-31.txt,Fuel surcharge revenue increased to 16.7% of revenue in 2012 from 16.4% in 2011
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2013,,,16.1,,,stated_pct,ODFL_2013-12-31.txt,Fuel surcharge revenue decreased to 16.1% of revenue in 2013 from 16.5% in 2012
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2014,,,15.5,,,stated_pct,ODFL_2014-12-31.txt,Fuel surcharge revenue decreased to 15.5% of revenue in 2014 from 16.1% in 2013
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2015,,,10.4,,,stated_pct,ODFL_2015-12-31.txt,Fuel surcharge revenue decreased to 10.4% of revenue in 2015 from 15.5% in 2014
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2016,,,9.5,,,stated_pct,ODFL_2016-12-31.txt,Fuel surcharge revenue decreased to 9.5% of revenue in 2016 from 10.4% in 2015
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2017,,,11.1,,,stated_pct,ODFL_2017-12-31.txt,fuel surcharges increased to 11.1% in 2017 from 9.5% in 2016
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2018,,,13.3,,,stated_pct,ODFL_2018-12-31.txt,fuel surcharges increased to 13.3% in 2018 from 11.1% in 2017
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2019,,,12.7,,,stated_pct,ODFL_2019-12-31.txt,fuel surcharges decreased to 12.7% in 2019 as compared to 13.3% in 2018
Old Dominion Freight Line,ODFL,LTL,Total company revenue,2020,,,10.5,,,stated_pct,ODFL_2020-12-31.txt,fuel surcharges decreased to 10.5% in 2020 as compared to 12.7% in 2019
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,2002,9.5,489.8,1.94,,,derived_subtraction,SAIA_2003-12-31.txt,"revenue of $489.8 million in 2002, an increase of 0.9 percent over 2001 operating revenue of $485.4 million. Saia’s operating revenue excluding fuel surcharge was $480.3 million in 2002"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,2003,18.4,520.7,3.53,,,derived_subtraction,SAIA_2003-12-31.txt,"revenue of $520.7 million in 2003, an increase of 6.3 percent over 2002 operating revenue of $489.8 million. Saia’s operating revenue excluding fuel surcharge was $502.3 million in 2003"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,2004,37.6,645.4,5.83,,,derived_subtraction,SAIA_2004-12-31.txt,"revenue of $645.4 million in 2004, an increase of 24.0 percent over 2003 operating revenue of $520.7 million. Saia’s operating revenue excluding fuel surcharge was $607.8 million in 2004"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,2005,74.1,754.0,9.83,,,derived_subtraction,SAIA_2005-12-31.txt,"revenue of $754.0 million in 2005, an increase of 16.8 percent over 2004 operating revenue of $645.4 million. Saia’s operating revenue excluding fuel surcharge was $679.9 million in 2005"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2006,,,11.9,,,stated_pct,SAIA_2006-12-31.txt,"Fuel surcharge revenue, which was 11.9 percent of total revenue in 2006"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2010,,,12.4,,,stated_pct,SAIA_2012-12-31.txt,"Fuel surcharge revenue increased to 16.7% of operating revenue for the year ended December 31, 2011 compared to 12.4% for the year ended December 31, 2010"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2011,,,16.7,,,stated_pct,SAIA_2012-12-31.txt,"Fuel surcharge revenue increased to 16.7% of operating revenue for the year ended December 31, 2011"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2012,,,17.3,,,stated_pct,SAIA_2012-12-31.txt,"Fuel surcharge revenue increased to 17.3% of operating revenue for the year ended December 31, 2012"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2013,,,16.8,,,stated_pct,SAIA_2013-12-31.txt,"Fuel surcharge revenue decreased to 16.8% of operating revenue for the year ended December 31, 2013"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2014,,,16.6,,,stated_pct,SAIA_2014-12-31.txt,"Fuel surcharge revenue decreased to 16.6% of operating revenue for the year ended December 31, 2014"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2015,,,11.7,,,stated_pct,SAIA_2015-12-31.txt,"Fuel surcharge revenue decreased to 11.7 % of operating revenue for the year ended December 31, 2015"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2016,,,9.7,,,stated_pct,SAIA_2016-12-31.txt,"Fuel surcharge revenue decreased to 9.7 % of operating revenue for the year ended December 31, 2016"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2017,,,11.5,,,stated_pct,SAIA_2017-12-31.txt,"Fuel surcharge reve nue increased to 11.5 percent of operating revenue for the year ended December 31, 2017"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2018,,,13.6,,,stated_pct,SAIA_2018-12-31.txt,"Fuel surcharge revenue increased to 13.6 percent of operating revenue for the year ended December 31, 2018"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2019,,,13.0,,,stated_pct,SAIA_2019-12-31.txt,"Fuel surcharge revenue decrease d to 13.0 percent of operating revenue for the year ended December 31, 2019"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2020,,,11.1,,,stated_pct,SAIA_2020-12-31.txt,"Fuel surcharge revenue decrease d to 11.1 percent of operating revenue for the year ended December 31, 2020"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2021,,,14.0,,,stated_pct,SAIA_2021-12-31.txt,"Fuel surcharge revenue increase d to 14.0 percent of operating revenue for the year ended December 31, 2021"
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2022,,,19.9,,,stated_pct,SAIA_2022-12-31.txt,Fuel surcharge revenue increased to 19.9 percent of operating revenue in 2022
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2023,,,16.9,,,stated_pct,SAIA_2023-12-31.txt,Fuel surcharge revenue decreased to 16.9 percent of operating revenue in 2023
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2024,,,15.0,,,stated_pct,SAIA_2024-12-31.txt,Fuel surcharge revenue decreased to 15.0 percent of operating revenue in 2024
Saia (SCS Transportation pre-2006),SAIA,LTL,Saia Inc. consolidated operating revenue (continuing ops),2025,,,15.0,,,stated_pct,SAIA_2025-12-31.txt,Fuel surcharge revenue remained flat at 15.0 percent of operating revenue in 2025
XPO,XPO,LTL,North American LTL segment,2019,532,3791,14.03,,,stated_dollars,XPO_2021-12-31.txt,"fuel surcharge revenue of $433 million and $532 million, respectively, for the years ended December 31, 2020 and 2019"
XPO,XPO,LTL,North American LTL segment,2020,433,3539,12.24,,,stated_dollars,XPO_2021-12-31.txt,"fuel surcharge revenue of $632 million and $433 million, respectively, for the years ended December 31, 2021 and 2020"
XPO,XPO,LTL,North American LTL segment,2021,632,4118,15.35,,,stated_dollars,XPO_2021-12-31.txt,"fuel surcharge revenue of $632 million and $433 million, respectively, for the years ended December 31, 2021 and 2020"
XPO,XPO,LTL,North American LTL segment,2022,1000,4645,21.53,,,stated_dollars,XPO_2022-12-31.txt,"fuel surcharge revenue of $1.0 billion and $632 million, respectively, for the years ended December 31, 2022 and 2021"
XPO,XPO,LTL,North American LTL segment,2023,857,4671,18.35,,,stated_dollars,XPO_2023-12-31.txt,"fuel surcharge revenue of $857 million and $1.0 billion, respectively, for the years ended December 31, 2023 and 2022"
XPO,XPO,LTL,North American LTL segment,2024,785,4899,16.02,,,stated_dollars,XPO_2024-12-31.txt,"fuel surcharge revenue of $785 million and $857 million, respectively, for the years ended December 31, 2024 and 2023"
XPO,XPO,LTL,North American LTL segment,2025,731,4832,15.13,,,stated_dollars,XPO_2025-12-31.txt,"fuel surcharge revenue of $731 million and $785 million, respectively, for the years ended December 31, 2025 and 2024"
