company,ticker,mode,scope,fiscal_year,fuel_surcharge_revenue_musd,base_revenue_musd,fuel_surcharge_pct,rev_incl,rev_excl,method,source_file,quote
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2002,7,10663,,10663,,stated_dollars,UNP_2006-12-31.txt,"Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2003,93,11041,,11041,,stated_dollars,UNP_2006-12-31.txt,"Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2004,292,11692,,11692,,stated_dollars,UNP_2006-12-31.txt,"Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2005,1000,12957,,12957,,stated_dollars,UNP_2005-12-31.txt,"In 2005, our fuel surcharge programs generated $1 billion in commodity revenue"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2006,1619,14862,,14862,,stated_dollars,UNP_2006-12-31.txt,"Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2007,1478,15516,,15516,,stated_dollars,UNP_2007-12-31.txt,"Includes fuel surcharge revenue of $1,478 million, $1,619 million"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2008,2323,17118,,17118,,stated_dollars,UNP_2008-12-31.txt,"Includes fuel surcharge revenue of $2,323 million, $1,478 million"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2009,605,13373,,13373,,stated_dollars,UNP_2009-12-31.txt,"Includes fuel surcharge revenue of $605 million, $2,323 million"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2010,1237,16069,,16069,,stated_dollars,UNP_2010-12-31.txt,"Includes fuel surcharge revenue of $1,237 million, $605 million"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2011,2243,18508,,18508,,stated_dollars,UNP_2011-12-31.txt,"Includes fuel surcharge revenue of $2,243 million, $1,237 million"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2012,2600,19686,,19686,,stated_dollars,UNP_2012-12-31.txt,Our fuel surcharge programs (excluding index-based contract escalators that contain some provision for fuel) generated freight revenues of $2.6 billion
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2013,2600,20684,,20684,,stated_dollars,UNP_2013-12-31.txt,"Our fuel surcharge programs generated freight revenues of $2.6 billion, $2.6 billion, and $2.2 billion in 2013, 2012, and 2011"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2014,2800,22560,,22560,,stated_dollars,UNP_2014-12-31.txt,"Our fuel surcharge programs generated freight revenues of $2.8 billion, $2.6 billion, and $2.6 billion in 2014, 2013, and 2012"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2015,1300,20397,,20397,,stated_dollars,UNP_2015-12-31.txt,"Our fuel surcharge programs generated freight revenues of $ 1.3 billion, $2.8 billion, and $2.6 billion in 2015, 2014, and 2013"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2016,560,18601,,18601,,stated_dollars,UNP_2016-12-31.txt,Our fuel surcharge programs generated freight revenues of $560 million
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2017,966,19837,,19837,,stated_dollars,UNP_2017-12-31.txt,"ncludes fuel surcharge revenue of $966 million, $560 million"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2018,1700,21384,,21384,,stated_dollars,UNP_2018-12-31.txt,"Our fuel surcharge programs generated freight revenues of $1.7 billion, $966 million, and $560 million in 2018, 2017, and 2016"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2019,1600,20243,,20243,,stated_dollars,UNP_2019-12-31.txt,Our fuel surcharge programs generated freight revenues of $1.6 billion and $1.7 billion in 2019 and 2018
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2020,967,18251,,18251,,stated_dollars,UNP_2020-12-31.txt,"Includes fuel surcharge revenue of $967 million, $1.6 billion"
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2021,1700,20244,,20244,,stated_dollars,UNP_2021-12-31.txt,Our fuel surcharge programs generated freight revenues of $1.7 billion and $1.0 billion in 2021 and 2020
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2022,3700,23159,,23159,,stated_dollars,UNP_2022-12-31.txt,Our fuel surcharge programs generated freight revenues of $3.7 billion and $1.7 billion in 2022 and 2021
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2023,3000,22571,,22571,,stated_dollars,UNP_2023-12-31.txt,Our fuel surcharge programs generated freight revenues of $3.0 billion and $3.7 billion in 2023 and 2022
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2024,2600,22811,,22811,,stated_dollars,UNP_2024-12-31.txt,Our fuel surcharge programs generated freight revenues of $2.6 billion and $3.0 billion in 2024 and 2023
Union Pacific,UNP,Rail,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",2025,2300,23220,,23220,,stated_dollars,UNP_2025-12-31.txt,Our fuel surcharge programs generated freight revenues of $2.3 billion and $2.6 billion in 2025 and 2024
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2006,1000,9407,,9407,,stated_dollars,NSC_2008-12-31.txt,Fuel surcharge revenue amounted to $1.6 billion in 2008 (up $830 million) compared to $792 million in 2007 and $1 billion in 2006
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2007,792,9432,,9432,,stated_dollars,NSC_2008-12-31.txt,Fuel surcharge revenue amounted to $1.6 billion in 2008 (up $830 million) compared to $792 million in 2007 and $1 billion in 2006
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2008,1600,10661,,10661,,stated_dollars,NSC_2008-12-31.txt,Fuel surcharge revenue amounted to $1.6 billion in 2008 (up $830 million) compared to $792 million in 2007 and $1 billion in 2006
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2009,370,7969,,7969,,stated_dollars,NSC_2009-12-31.txt,Fuel surcharge revenue amounted to $370 million in 2009
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2010,724,9516,,9516,,stated_dollars,NSC_2010-12-31.txt,Fuel surcharge revenue amounted to $724 million in 2010
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2011,1300,11172,,11172,,stated_dollars,NSC_2011-12-31.txt,Fuel surcharge revenue amounted to $1.3 billion in 2011
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2012,1300,11040,,11040,,stated_dollars,NSC_2012-12-31.txt,and totaled $1.3 billion in both years
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2013,1254,11245,,11245,,stated_dollars,NSC_2013-12-31.txt,"Fuel surcharge revenue totaled $ 1,254 million in 2013"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2014,1329,11624,,11624,,stated_dollars,NSC_2014-12-31.txt,"revenues in 2014 included $1,329 million of such surcharges"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2015,477,10511,,10511,,stated_dollars,NSC_2016-12-31.txt,"Revenues associated with fuel surcharges totaled $236 million, $477 million, and $1,329 million in 2016, 2015, and 2014"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2016,236,9888,,9888,,stated_dollars,NSC_2016-12-31.txt,"Revenues associated with fuel surcharges totaled $236 million, $477 million, and $1,329 million in 2016, 2015, and 2014"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2017,359,10551,,10551,,stated_dollars,NSC_2017-12-31.txt,"Revenues associated with fuel surcharges totaled $359 million, $236 million, and $477 million in 2017, 2016, and 2015"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2018,657,11458,,11458,,stated_dollars,NSC_2018-12-31.txt,"Revenues associated with fuel surcharges totaled $657 million, $359 million, and $236 million in 2018, 2017, and 2016"
Norfolk Southern,NSC,Rail,"NSC railway operating revenues (total); YoY change = sum of stated segment changes Merchandise (14), Intermodal (30), Coal (35) vs 2018; no 2019 level disclosed",2019,-79,11296,,11296,,yoy_change_only,NSC_2019-12-31.txt,Fuel surcharge revenue (14) (30) (35)
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2020,349,9789,,9789,,stated_dollars,NSC_2022-12-31.txt,"Fuel surcharge revenues totaled $1.6 billion, $622 million, and $349 million in 2022, 2021, and 2020"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2021,622,11142,,11142,,stated_dollars,NSC_2022-12-31.txt,"Fuel surcharge revenues totaled $1.6 billion, $622 million, and $349 million in 2022, 2021, and 2020"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2022,1600,12745,,12745,,stated_dollars,NSC_2022-12-31.txt,"Fuel surcharge revenues totaled $1.6 billion, $622 million, and $349 million in 2022, 2021, and 2020"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2023,1200,12156,,12156,,stated_dollars,NSC_2023-12-31.txt,"Fuel surcharge revenues totaled $1.2 billion, $1.6 billion, and $622 million in 2023, 2022, and 2021"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2024,962,12123,,12123,,stated_dollars,NSC_2024-12-31.txt,"Fuel surcharge revenues totaled $962 million, $1.2 billion, and $1.6 billion in 2024, 2023, and 2022"
Norfolk Southern,NSC,Rail,NSC railway operating revenues (total),2025,828,12180,,12180,,stated_dollars,NSC_2025-12-31.txt,"Fuel surcharge revenues totaled $828 million, $962 million, and $1.2 billion in 2025, 2024, and 2023"
CSX,CSX,Rail,CSX 2002 vs 2001 change; base not recorded (rail/other revenue split ambiguous),2002,-25,,,,,yoy_change_only,CSX_2003-12-26.txt,since $25 million of fuel surcharge revenue was discontinued
CSX,CSX,Rail,CSX total revenue; 2015 vs 2014 decline in fuel surcharge,2015,-646,11811,,11811,,yoy_change_only,CSX_2015-12-25.txt,mostly due to the decline in fuel surcharge of $646 million
