company,ticker,mode,scope,fiscal_year,fuel_surcharge_revenue_musd,base_revenue_musd,fuel_surcharge_pct,rev_incl,rev_excl,method,source_file,quote
Knight-Swift Transportation,KNX,Truckload,Consolidated; all fuel surcharge (trucking+intermodal); Swift from 9/8/2017 merger,2017,245.58,2425.453,10.13,2425.453,2179.873,stated_dollars,KNX_2017-12-31.txt,"Fuel surcharge (245,580 )"
Knight-Swift Transportation,KNX,Truckload,Consolidated; all fuel surcharge (trucking+intermodal),2018,618.778,5344.066,11.58,5344.066,4725.288,stated_dollars,KNX_2018-12-31.txt,"Fuel surcharge (618,778 )"
Knight-Swift Transportation,KNX,Truckload,Consolidated; trucking fuel surcharge (excl. intermodal),2019,448.618,4843.95,9.26,4843.95,4395.332,stated_dollars,KNX_2019-12-31.txt,"Trucking fuel surcharge 448,618 534,398 225,970"
Knight-Swift Transportation,KNX,Truckload,Consolidated; trucking fuel surcharge (excl. intermodal),2020,304.656,4673.863,6.52,4673.863,4369.207,stated_dollars,KNX_2020-12-31.txt,"Trucking fuel surcharge 304,656 448,618 534,398"
Knight-Swift Transportation,KNX,Truckload,Consolidated; truckload+LTL fuel surcharge (LTL from ACT/MME 2021),2021,466.129,5998.019,7.77,5998.019,5531.89,stated_dollars,KNX_2021-12-31.txt,"Truckload and LTL fuel surcharge 466,129 304,656 448,618"
Knight-Swift Transportation,KNX,Truckload,Consolidated; truckload+LTL fuel surcharge (LTL from ACT/MME 2021),2022,920.417,7428.582,12.39,7428.582,6508.165,stated_dollars,KNX_2022-12-31.txt,"Truckload and LTL fuel surcharge 920,417 466,129 304,656"
Knight-Swift Transportation,KNX,Truckload,Consolidated; truckload+LTL fuel surcharge (incl. U.S. Xpress from 7/1/2023),2023,833.597,7141.766,11.67,7141.766,6308.169,stated_dollars,KNX_2023-12-31.txt,"Truckload and LTL fuel surcharge 833,597 920,417 466,129"
Knight-Swift Transportation,KNX,Truckload,Consolidated; truckload+LTL fuel surcharge (incl. U.S. Xpress from 7/1/2023),2024,798.121,7410.078,10.77,7410.078,6611.957,stated_dollars,KNX_2024-12-31.txt,"Truckload and LTL fuel surcharge 798,121 833,597 920,417"
Knight-Swift Transportation,KNX,Truckload,Consolidated; truckload+LTL fuel surcharge (incl. U.S. Xpress from 7/1/2023),2025,777.614,7469.689,10.41,7469.689,6692.075,stated_dollars,KNX_2025-12-31.txt,"Truckload and LTL fuel surcharge 777,614 798,121 833,597"
Werner Enterprises,WERN,Truckload,Consolidated operating revenues (FSC is trucking fuel surcharge),2000,51.4,1214.628,4.23,1214.628,,stated_dollars,WERN_2001-12-31.txt,decreased from $51.4 million in 2000 to $46.2 million in 2001
Werner Enterprises,WERN,Truckload,Consolidated operating revenues (FSC is trucking fuel surcharge),2001,46.2,1270.519,3.64,1270.519,,stated_dollars,WERN_2001-12-31.txt,decreased from $51.4 million in 2000 to $46.2 million in 2001
Werner Enterprises,WERN,Truckload,Consolidated operating revenues (FSC is trucking fuel surcharge),2002,29.1,1341.456,2.17,1341.456,,stated_dollars,WERN_2002-12-31.txt,decreased from $46.2 million in 2001 to $29.1 million in 2002
Werner Enterprises,WERN,Truckload,Consolidated operating revenues (FSC is trucking fuel surcharge),2003,61.6,1457.766,4.23,1457.766,,stated_dollars,WERN_2003-12-31.txt,increased from $29.1 million in 2002 to $61.6 million in 2003
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2004,114.135,1506.937,7.57,1506.937,1392.802,stated_dollars,WERN_2004-12-31.txt,"Less: trucking fuel surcharge revenues 114,135 61,571 29,060"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2005,235.69,1741.828,13.53,1741.828,1506.138,stated_dollars,WERN_2005-12-31.txt,"Less: trucking fuel surcharge revenues 235,690 114,135 61,571"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2006,286.843,1801.09,15.93,1801.09,1514.247,stated_dollars,WERN_2006-12-31.txt,"Less: trucking fuel surcharge revenues 286,843 235,690 114,135"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2007,301.789,1795.227,16.81,1795.227,1493.438,stated_dollars,WERN_2007-12-31.txt,"Less: trucking fuel surcharge revenues 301,789 286,843 235,690"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2008,442.614,1881.803,23.52,1881.803,1439.189,stated_dollars,WERN_2008-12-31.txt,"Less: trucking fuel surcharge revenues 442,614 301,789 286,843"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2009,176.744,1437.527,12.3,1437.527,1260.783,stated_dollars,WERN_2009-12-31.txt,"Less: trucking fuel surcharge revenues 176,744 442,614 301,789"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2010,254.764,1550.601,16.43,1550.601,1295.837,stated_dollars,WERN_2010-12-31.txt,"Less: trucking fuel surcharge revenues 254,764 176,744 442,614"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2011,373.384,1694.965,22.03,1694.965,1321.581,stated_dollars,WERN_2011-12-31.txt,"Less: trucking fuel surcharge revenues 373,384 254,764 176,744"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment revenues,2012,376.104,1699.349,22.13,1699.349,1323.245,stated_dollars,WERN_2012-12-31.txt,"Less: trucking fuel surcharge revenues 376,104 373,384 254,764"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment operating revenues,2013,354.616,1657.854,21.39,1657.854,,stated_dollars,WERN_2013-12-31.txt,"Trucking fuel surcharge revenues 354,616 376,104"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment operating revenues,2014,349.763,1702.137,20.55,1702.137,,stated_dollars,WERN_2014-12-31.txt,"Trucking fuel surcharge revenues 349,763 354,616"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment operating revenues,2015,212.489,1644.874,12.92,1644.874,,stated_dollars,WERN_2015-12-31.txt,"Trucking fuel surcharge revenues 212,489 349,763"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment operating revenues,2016,155.293,1533.981,10.12,1533.981,,stated_dollars,WERN_2016-12-31.txt,"Trucking fuel surcharge revenues 155,293 212,489"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment operating revenues,2017,205.515,1635.244,12.57,1635.244,,stated_dollars,WERN_2017-12-31.txt,"Trucking fuel surcharge revenues 205,515 155,293"
Werner Enterprises,WERN,Truckload,Truckload Transportation Services segment operating revenues,2018,265.078,1881.323,14.09,1881.323,,stated_dollars,WERN_2018-12-31.txt,"Trucking fuel surcharge revenues 265,078 205,515"
Werner Enterprises,WERN,Truckload,TTS segment operating revenues (One-Way Truckload + Dedicated),2019,234.366,1909.776,12.27,1909.776,,stated_dollars,WERN_2019-12-31.txt,"Trucking fuel surcharge revenues 234,366 265,078"
Werner Enterprises,WERN,Truckload,TTS segment operating revenues (One-Way Truckload + Dedicated),2020,158.611,1843.209,8.61,1843.209,,stated_dollars,WERN_2020-12-31.txt,"Trucking fuel surcharge revenues 158,611 234,366"
Werner Enterprises,WERN,Truckload,TTS segment operating revenues (One-Way Truckload + Dedicated),2021,234.164,2045.073,11.45,2045.073,,stated_dollars,WERN_2021-12-31.txt,"Trucking fuel surcharge revenues 234,164 158,611"
Werner Enterprises,WERN,Truckload,TTS segment operating revenues (One-Way Truckload + Dedicated),2022,419.24,2428.686,17.26,2428.686,,stated_dollars,WERN_2022-12-31.txt,"Trucking fuel surcharge revenues 419,240 234,164"
