company,ticker,mode,scope,fiscal_year,fuel_surcharge_revenue_musd,base_revenue_musd,fuel_surcharge_pct,rev_incl,rev_excl,method,source_file,quote,base_components
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2003,87.081,2433.469,3.58,1,0,stated_dollars,JBHT_2005-12-31.txt,"Fuel surcharge revenues 335,973 166,949 87,081 Total operating revenues 3,127,899 2,786,154 2,433,469",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2004,166.949,2786.154,5.99,1,0,stated_dollars,JBHT_2005-12-31.txt,"Fuel surcharge revenues 335,973 166,949 87,081 Total operating revenues 3,127,899 2,786,154 2,433,469",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2005,335.973,3127.899,10.74,1,0,stated_dollars,JBHT_2005-12-31.txt,"Fuel surcharge revenues 335,973 166,949 87,081 Total operating revenues 3,127,899",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2006,430.171,3327.987,12.93,1,0,stated_dollars,JBHT_2006-12-31.txt,"Fuel surcharge revenues 430,171 335,973 166,949 Total operating revenues 3,327,987",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2007,480.08,3489.899,13.76,1,0,stated_dollars,JBHT_2007-12-31.txt,"Fuel surcharge revenues 480,080 430,171 335,973 Total operating revenues 3,489,899",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2008,730.412,3731.943,19.57,1,0,stated_dollars,JBHT_2008-12-31.txt,"Fuel surcharge revenues 730,412 480,080 430,171 Total operating revenues 3,731,943",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2009,326.269,3203.321,10.19,1,0,stated_dollars,JBHT_2009-12-31.txt,"Fuel surcharge revenues 326,269 730,412 480,080 Total operating revenues 3,203,321",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2010,516.267,3793.485,13.61,1,0,stated_dollars,JBHT_2010-12-31.txt,"Fuel surcharge revenues 516,267 326,269 730,412 Total operating revenues 3,793,485",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2011,849.163,4526.842,18.76,1,0,stated_dollars,JBHT_2011-12-31.txt,"Fuel surcharge revenues 849,163 516,267 326,269 Total operating revenues 4,526,842",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2012,996.815,5054.98,19.72,1,0,stated_dollars,JBHT_2012-12-31.txt,"Fuel surcharge revenues 996,815 849,163 516,267 Total operating revenues 5,054,980",
