mode,company,ticker,fiscal_year,fuel_surcharge_revenue_musd,base_revenue_musd,fuel_surcharge_pct_of_revenue,scope,method,source_filing,quote
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2003,87.081,2433.469,3.58,consolidated,stated_dollars,"JBHT 10-K, period ending 2005-12-31","Fuel surcharge revenues 335,973 166,949 87,081 Total operating revenues 3,127,899 2,786,154 2,433,469"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2004,166.949,2786.154,5.99,consolidated,stated_dollars,"JBHT 10-K, period ending 2005-12-31","Fuel surcharge revenues 335,973 166,949 87,081 Total operating revenues 3,127,899 2,786,154 2,433,469"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2005,335.973,3127.899,10.74,consolidated,stated_dollars,"JBHT 10-K, period ending 2005-12-31","Fuel surcharge revenues 335,973 166,949 87,081 Total operating revenues 3,127,899"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2006,430.171,3327.987,12.93,consolidated,stated_dollars,"JBHT 10-K, period ending 2006-12-31","Fuel surcharge revenues 430,171 335,973 166,949 Total operating revenues 3,327,987"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2007,480.08,3489.899,13.76,consolidated,stated_dollars,"JBHT 10-K, period ending 2007-12-31","Fuel surcharge revenues 480,080 430,171 335,973 Total operating revenues 3,489,899"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2008,730.412,3731.943,19.57,consolidated,stated_dollars,"JBHT 10-K, period ending 2008-12-31","Fuel surcharge revenues 730,412 480,080 430,171 Total operating revenues 3,731,943"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2009,326.269,3203.321,10.19,consolidated,stated_dollars,"JBHT 10-K, period ending 2009-12-31","Fuel surcharge revenues 326,269 730,412 480,080 Total operating revenues 3,203,321"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2010,516.267,3793.485,13.61,consolidated,stated_dollars,"JBHT 10-K, period ending 2010-12-31","Fuel surcharge revenues 516,267 326,269 730,412 Total operating revenues 3,793,485"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2011,849.163,4526.842,18.76,consolidated,stated_dollars,"JBHT 10-K, period ending 2011-12-31","Fuel surcharge revenues 849,163 516,267 326,269 Total operating revenues 4,526,842"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2012,996.815,5054.98,19.72,consolidated,stated_dollars,"JBHT 10-K, period ending 2012-12-31","Fuel surcharge revenues 996,815 849,163 516,267 Total operating revenues 5,054,980"
