ticker,fiscal_year,period,method,quote_in_filing,fsc_in_quote,base_in_filing,pct_math
HTLD,2026,H1,stated_dollars,True,True,True,True
KNX,2026,H1,stated_dollars,True,True,True,True
MRTN,2026,H1,derived_sum_of_segments,True,True,True,True
WERN,2026,H1,stated_dollars,True,True,True,True
SAIA,2026,H1,stated_pct,True,True,True,True
XPO,2026,H1,stated_dollars,True,True,True,True
UNP,2026,H1,derived_sum_of_quarters,True,True,True,True
NSC,2026,H1,stated_dollars,True,True,True,True
JBHT,2026,H1,stated_dollars,True,True,True,True
ODFL,2002,FY,stated_pct,True,True,True,True
ODFL,2003,FY,stated_pct,True,True,True,True
ODFL,2004,FY,stated_pct,True,True,True,True
ODFL,2005,FY,stated_pct,True,True,True,True
ODFL,2006,FY,stated_pct,True,True,True,True
ODFL,2007,FY,stated_pct,True,True,True,True
ODFL,2008,FY,stated_pct,True,True,True,True
ODFL,2009,FY,stated_pct,True,True,True,True
ODFL,2010,FY,stated_pct,True,True,True,True
ODFL,2011,FY,stated_pct,True,True,True,True
ODFL,2012,FY,stated_pct,True,True,True,True
ODFL,2013,FY,stated_pct,True,True,True,True
ODFL,2014,FY,stated_pct,True,True,True,True
ODFL,2015,FY,stated_pct,True,True,True,True
ODFL,2016,FY,stated_pct,True,True,True,True
ODFL,2017,FY,stated_pct,True,True,True,True
ODFL,2018,FY,stated_pct,True,True,True,True
ODFL,2019,FY,stated_pct,True,True,True,True
ODFL,2020,FY,stated_pct,True,True,True,True
SAIA,2002,FY,derived_subtraction,True,True,True,True
SAIA,2003,FY,derived_subtraction,True,True,True,True
SAIA,2004,FY,derived_subtraction,True,True,True,True
SAIA,2005,FY,derived_subtraction,True,True,True,True
SAIA,2006,FY,stated_pct,True,True,True,True
SAIA,2010,FY,stated_pct,True,True,True,True
SAIA,2011,FY,stated_pct,True,True,True,True
SAIA,2012,FY,stated_pct,True,True,True,True
SAIA,2013,FY,stated_pct,True,True,True,True
SAIA,2014,FY,stated_pct,True,True,True,True
SAIA,2015,FY,stated_pct,True,True,True,True
SAIA,2016,FY,stated_pct,True,True,True,True
SAIA,2017,FY,stated_pct,True,True,True,True
SAIA,2018,FY,stated_pct,True,True,True,True
SAIA,2019,FY,stated_pct,True,True,True,True
SAIA,2020,FY,stated_pct,True,True,True,True
SAIA,2021,FY,stated_pct,True,True,True,True
SAIA,2022,FY,stated_pct,True,True,True,True
SAIA,2023,FY,stated_pct,True,True,True,True
SAIA,2024,FY,stated_pct,True,True,True,True
SAIA,2025,FY,stated_pct,True,True,True,True
XPO,2019,FY,stated_dollars,True,True,True,True
XPO,2020,FY,stated_dollars,True,True,True,True
XPO,2021,FY,stated_dollars,True,True,True,True
XPO,2022,FY,stated_dollars,True,True,True,True
XPO,2023,FY,stated_dollars,True,True,True,True
XPO,2024,FY,stated_dollars,True,True,True,True
XPO,2025,FY,stated_dollars,True,True,True,True
UNP,2002,FY,stated_dollars,True,True,True,True
UNP,2003,FY,stated_dollars,True,True,True,True
UNP,2004,FY,stated_dollars,True,True,True,True
UNP,2005,FY,stated_dollars,True,True,True,True
UNP,2006,FY,stated_dollars,True,True,True,True
UNP,2007,FY,stated_dollars,True,True,True,True
UNP,2008,FY,stated_dollars,True,True,True,True
UNP,2009,FY,stated_dollars,True,True,True,True
UNP,2010,FY,stated_dollars,True,True,True,True
UNP,2011,FY,stated_dollars,True,True,True,True
UNP,2012,FY,stated_dollars,True,True,True,True
UNP,2013,FY,stated_dollars,True,True,True,True
UNP,2014,FY,stated_dollars,True,True,True,True
UNP,2015,FY,stated_dollars,True,True,True,True
UNP,2016,FY,stated_dollars,True,True,True,True
UNP,2017,FY,stated_dollars,True,True,True,True
UNP,2018,FY,stated_dollars,True,True,True,True
UNP,2019,FY,stated_dollars,True,True,True,True
UNP,2020,FY,stated_dollars,True,True,True,True
UNP,2021,FY,stated_dollars,True,True,True,True
UNP,2022,FY,stated_dollars,True,True,True,True
UNP,2023,FY,stated_dollars,True,True,True,True
UNP,2024,FY,stated_dollars,True,True,True,True
UNP,2025,FY,stated_dollars,True,True,True,True
NSC,2006,FY,stated_dollars,True,True,True,True
NSC,2007,FY,stated_dollars,True,True,True,True
NSC,2008,FY,stated_dollars,True,True,True,True
NSC,2009,FY,stated_dollars,True,True,True,True
NSC,2010,FY,stated_dollars,True,True,True,True
NSC,2011,FY,stated_dollars,True,True,True,True
NSC,2012,FY,stated_dollars,True,True,True,True
NSC,2013,FY,stated_dollars,True,True,True,True
NSC,2014,FY,stated_dollars,True,True,True,True
NSC,2015,FY,stated_dollars,True,True,True,True
NSC,2016,FY,stated_dollars,True,True,True,True
NSC,2017,FY,stated_dollars,True,True,True,True
NSC,2018,FY,stated_dollars,True,True,True,True
NSC,2020,FY,stated_dollars,True,True,True,True
NSC,2021,FY,stated_dollars,True,True,True,True
NSC,2022,FY,stated_dollars,True,True,True,True
NSC,2023,FY,stated_dollars,True,True,True,True
NSC,2024,FY,stated_dollars,True,True,True,True
NSC,2025,FY,stated_dollars,True,True,True,True
KNX,2017,FY,stated_dollars,True,True,True,True
KNX,2018,FY,stated_dollars,True,True,True,True
KNX,2019,FY,stated_dollars,True,True,True,True
KNX,2020,FY,stated_dollars,True,True,True,True
KNX,2021,FY,stated_dollars,True,True,True,True
KNX,2022,FY,stated_dollars,True,True,True,True
KNX,2023,FY,stated_dollars,True,True,True,True
